Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
7187,MXN,Vista Hermosa,Gustavo A. Madero,Ciudad de México,"Vista Hermosa, Gustavo A. Madero, Ciudad de México"
82180,MXN,Benito Juárez,Mazatlán,Sinaloa,"Benito Juárez, Mazatlán, Sinaloa"
82180,MXN,Benito Juárez,Mazatlán,Sinaloa,"Benito Juárez, Mazatlán, Sinaloa"
82180,MXN,Benito Juárez,Mazatlán,Sinaloa,"Benito Juárez, Mazatlán, Sinaloa"
82180,MXN,Benito Juárez,Mazatlán,Sinaloa,"Benito Juárez, Mazatlán, Sinaloa"
78210,MXN,Bellas Lomas,San Luis Potosí,San Luis Potosí,"Bellas Lomas, San Luis Potosí, San Luis Potosí"
78210,MXN,Bellas Lomas,San Luis Potosí,San Luis Potosí,"Bellas Lomas, San Luis Potosí, San Luis Potosí"
45132,MXN,,,,
45132,MXN,,,,
45132,MXN,,,,
45132,MXN,,,,
7708,MXN,Torres Lindavista,Gustavo A. Madero,Ciudad de México,"Torres Lindavista, Gustavo A. Madero, Ciudad de México"
7708,MXN,Torres Lindavista,Gustavo A. Madero,Ciudad de México,"Torres Lindavista, Gustavo A. Madero, Ciudad de México"
7708,MXN,Torres Lindavista,Gustavo A. Madero,Ciudad de México,"Torres Lindavista, Gustavo A. Madero, Ciudad de México"
7708,MXN,Torres Lindavista,Gustavo A. Madero,Ciudad de México,"Torres Lindavista, Gustavo A. Madero, Ciudad de México"
88000,MXN,Nuevo Laredo Centro,Nuevo Laredo,Tamaulipas,"Nuevo Laredo Centro, Nuevo Laredo, Tamaulipas"
88000,MXN,Nuevo Laredo Centro,Nuevo Laredo,Tamaulipas,"Nuevo Laredo Centro, Nuevo Laredo, Tamaulipas"
71508,MXN,San Juan Chilateca,San Juan Chilateca,Oaxaca,"San Juan Chilateca, San Juan Chilateca, Oaxaca"
71508,MXN,San Juan Chilateca,San Juan Chilateca,Oaxaca,"San Juan Chilateca, San Juan Chilateca, Oaxaca"
71508,MXN,San Juan Chilateca,San Juan Chilateca,Oaxaca,"San Juan Chilateca, San Juan Chilateca, Oaxaca"
71508,MXN,San Juan Chilateca,San Juan Chilateca,Oaxaca,"San Juan Chilateca, San Juan Chilateca, Oaxaca"
50250,MXN,Las Palomas,Toluca,México,"Las Palomas, Toluca, México"
50250,MXN,Las Palomas,Toluca,México,"Las Palomas, Toluca, México"
89650,MXN,La Colonia (Estación Colonias),Altamira,Tamaulipas,"La Colonia (Estación Colonias), Altamira, Tamaulipas"
89650,MXN,La Colonia (Estación Colonias),Altamira,Tamaulipas,"La Colonia (Estación Colonias), Altamira, Tamaulipas"
42186,MXN,Loma Escondida,Mineral de la Reforma,Hidalgo,"Loma Escondida, Mineral de la Reforma, Hidalgo"
42186,MXN,Loma Escondida,Mineral de la Reforma,Hidalgo,"Loma Escondida, Mineral de la Reforma, Hidalgo"
89316,MXN,Emilio Portes Gil,Tampico,Tamaulipas,"Emilio Portes Gil, Tampico, Tamaulipas"
89316,MXN,Emilio Portes Gil,Tampico,Tamaulipas,"Emilio Portes Gil, Tampico, Tamaulipas"
86250,MXN,Buena Vista 2da. Sección,Centro,Tabasco,"Buena Vista 2da. Sección, Centro, Tabasco"
86250,MXN,Buena Vista 2da. Sección,Centro,Tabasco,"Buena Vista 2da. Sección, Centro, Tabasco"
86500,MXN,Cárdenas Centro,Cárdenas,Tabasco,"Cárdenas Centro, Cárdenas, Tabasco"
86500,MXN,Cárdenas Centro,Cárdenas,Tabasco,"Cárdenas Centro, Cárdenas, Tabasco"
86270,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
86270,MXN,Tierra Amarilla 3ra Sección,Centro,Tabasco,"Tierra Amarilla 3ra Sección, Centro, Tabasco"
